Split,Random_Seed,Output,Model,MSE,RMSE,MAE,R2
16,912757,lv,Bagging,0.028430120030856196,0.1686123365322247,0.10423471419200615,0.977247396189337
16,912757,lv,MLP Neural Network,0.13494782442262543,0.36735245258828125,0.25593105172123903,0.8920013569810297
16,912757,lv,XGBoost,0.013957309728515515,0.1181410586058696,0.08572747286926742,0.9888299754566298
16,912757,lv,LightGBM,0.07936702596599031,0.2817215397622097,0.20230393803171648,0.9364826284421283
17,175204,tmp,Linear Regression,0.004018991163940227,0.06339551375247485,0.044669040157497314,0.5088087560101282
17,175204,tmp,Ridge Regression,0.004018991684690441,0.06339551785962823,0.04466949603902371,0.508808692365314
17,175204,tmp,Lasso Regression,0.004563869064951982,0.06755641394384387,0.04877023182563147,0.44221511519252543
17,175204,tmp,ElasticNet,0.004251228447559048,0.06520144513397727,0.046634407136760654,0.48042528473876556
17,175204,tmp,Decision Tree,0.0001254945635880785,0.011202435609637688,0.006231468354478944,0.9846623621977908
17,175204,tmp,Random Forest,2.6119835021036147e-05,0.005110756795332385,0.0023128493612846034,0.9968076978193168
17,175204,tmp,Extra Trees,1.4535214936971473e-32,1.2056207918318046e-16,8.038972977879705e-17,1.0
17,175204,tmp,Gradient Boosting,0.0004378205764659718,0.020924162503335033,0.013052164801511912,0.9464906428438513
17,175204,tmp,AdaBoost,0.0020598861015853607,0.0453859681133427,0.04112686479556385,0.748245772274057
17,175204,tmp,Hist Gradient Boosting,6.111145572664154e-05,0.00781738164135803,0.004789342276351249,0.9925311077491965
17,175204,tmp,KNN,0.0001558348928580067,0.012483384671554694,0.005704117812628305,0.9809542415602357
17,175204,tmp,SVR,0.0008406343863794018,0.028993695631626574,0.015238295104810838,0.8972597268460921
17,175204,tmp,Bagging,2.610888642488294e-05,0.005109685550489671,0.0023074924493934673,0.9968090359298886
17,175204,tmp,MLP Neural Network,0.00033025322562581217,0.018172870593987405,0.009878790397319068,0.959637260668229
17,175204,tmp,XGBoost,6.8826732243508585e-06,0.0026234849388458207,0.0018288819476564653,0.9991588165574044
17,175204,tmp,LightGBM,6.0050741720554716e-05,0.007749241364195253,0.004853796481773112,0.9926607456137536
17,175204,flow,Linear Regression,0.03432770974383637,0.18527738594830284,0.1458987987797938,0.4733580912231917
17,175204,flow,Ridge Regression,0.03432771978843138,0.1852774130552113,0.14589258621825008,0.4733579371230572
17,175204,flow,Lasso Regression,0.03945360223517921,0.19862930860066752,0.15640477188614316,0.394718711376122
17,175204,flow,ElasticNet,0.03665700537739411,0.19146019267041936,0.14922960165527194,0.437622974965324
17,175204,flow,Decision Tree,0.008160444194726519,0.09033517695076775,0.06018650491973257,0.8748057490800403
17,175204,flow,Random Forest,0.000893055330395553,0.02988403136117269,0.02298685590449767,0.9862991045032573
17,175204,flow,Extra Trees,1.2835092041693736e-31,3.5826096691788425e-16,2.368936220506555e-16,1.0
17,175204,flow,Gradient Boosting,0.009757665632156083,0.09878089710139346,0.07788863002805804,0.8503018205388075
17,175204,flow,AdaBoost,0.01896437411714661,0.1377111982271108,0.11101078205836341,0.7090562039139573
17,175204,flow,Hist Gradient Boosting,0.0033855228941091957,0.058185246361162686,0.046119882947425035,0.9480606701563775
17,175204,flow,KNN,0.004420143638878824,0.06648416081202216,0.05059779040559875,0.932187935040881
17,175204,flow,SVR,0.014425906990506188,0.12010789728617427,0.08935907784101234,0.7786835402067278
17,175204,flow,Bagging,0.0008956173028542828,0.029926865904305495,0.023001789347396585,0.9862597997527812
17,175204,flow,MLP Neural Network,0.007597316488577038,0.08716258651839698,0.06776108180147687,0.883445027734653
